timestamp,temperatura,ec
2026-04-21T00:00:00+00:00,15.85,2.194
2026-04-21T00:01:00+00:00,14.88,2.169
2026-04-21T00:02:00+00:00,15.4,2.251
2026-04-21T00:03:00+00:00,14.93,2.089
2026-04-21T00:04:00+00:00,15.47,2.162
2026-04-21T00:05:00+00:00,15.16,2.123
2026-04-21T00:06:00+00:00,15.74,2.216
2026-04-21T00:07:00+00:00,14.88,2.171
2026-04-21T00:08:00+00:00,15.26,2.197
2026-04-21T00:09:00+00:00,15.05,2.189
2026-04-21T00:10:00+00:00,15.36,2.231
2026-04-21T00:11:00+00:00,15.37,2.199
2026-04-21T00:12:00+00:00,15.87,2.182
2026-04-21T00:13:00+00:00,15.65,2.203
2026-04-21T00:14:00+00:00,15.63,2.113
2026-04-21T00:15:00+00:00,15.41,2.175
2026-04-21T00:16:00+00:00,15.72,2.106
2026-04-21T00:17:00+00:00,14.74,2.221
2026-04-21T00:18:00+00:00,15.04,2.145
2026-04-21T00:19:00+00:00,15.43,2.183
2026-04-21T00:20:00+00:00,15.86,2.248
2026-04-21T00:21:00+00:00,16.34,2.243
2026-04-21T00:22:00+00:00,15.31,2.245
2026-04-21T00:23:00+00:00,15.25,2.272
2026-04-21T00:24:00+00:00,15.28,2.169
2026-04-21T00:25:00+00:00,15.61,2.25
2026-04-21T00:26:00+00:00,15.09,2.157
2026-04-21T00:27:00+00:00,15.34,2.196
2026-04-21T00:28:00+00:00,15.48,2.199
2026-04-21T00:29:00+00:00,15.51,2.249
2026-04-21T00:30:00+00:00,16.09,2.205
2026-04-21T00:31:00+00:00,16.05,2.175
2026-04-21T00:32:00+00:00,15.72,2.158
2026-04-21T00:33:00+00:00,15.33,2.167
2026-04-21T00:34:00+00:00,16.01,2.08
2026-04-21T00:35:00+00:00,15.88,2.233
2026-04-21T00:36:00+00:00,15.54,2.175
2026-04-21T00:37:00+00:00,16.48,2.294
2026-04-21T00:38:00+00:00,15.7,2.129
2026-04-21T00:39:00+00:00,15.54,2.225
2026-04-21T00:40:00+00:00,14.95,2.185
2026-04-21T00:41:00+00:00,15.58,2.14
2026-04-21T00:42:00+00:00,15.94,2.211
2026-04-21T00:43:00+00:00,15.35,2.189
2026-04-21T00:44:00+00:00,15.17,2.139
2026-04-21T00:45:00+00:00,15.93,2.102
2026-04-21T00:46:00+00:00,15.63,2.271
2026-04-21T00:47:00+00:00,16.42,2.183
2026-04-21T00:48:00+00:00,15.72,2.232
2026-04-21T00:49:00+00:00,16.16,2.246
2026-04-21T00:50:00+00:00,14.97,2.296
2026-04-21T00:51:00+00:00,15.01,2.312
2026-04-21T00:52:00+00:00,15.93,2.147
2026-04-21T00:53:00+00:00,16.38,2.195
2026-04-21T00:54:00+00:00,15.85,2.168
2026-04-21T00:55:00+00:00,15.36,2.093
2026-04-21T00:56:00+00:00,14.94,2.165
2026-04-21T00:57:00+00:00,15.72,2.219
2026-04-21T00:58:00+00:00,15.71,2.273
2026-04-21T00:59:00+00:00,15.74,2.167
2026-04-21T01:00:00+00:00,15.54,2.205
